"Hwins","Awins","IsDraw","goals2H","Hgoals","Agoals","Hgoals1H","Agoals1H","HG_LY","HGA_LY","HM_LY","AG_LY","AGA_LY","AM_LY","HG_TY","HGA_TY","HM_TY","AG_TY","AGA_TY","AM_TY","Hrelegated","Hpromoted","Arelegated","Apromoted"
1,0,0,1,1,0,0,0,32,56,38,30,50,38,13,33,20,18,41,20,0,0,0,0
1,0,0,2,4,1,2,1,104,38,38,62,55,38,64,16,19,20,24,20,0,0,0,0
1,0,0,3,3,2,1,1,NA,NA,NA,46,49,42,27,39,22,17,25,22,0,1,0,0
1,0,0,2,2,1,0,1,51,50,42,46,57,42,40,21,22,29,33,22,0,0,0,0
1,0,0,2,2,0,0,0,NA,NA,NA,NA,NA,NA,21,23,22,17,24,22,0,1,0,1
0,1,0,2,0,2,0,0,39,56,42,NA,NA,NA,22,23,22,21,23,22,0,0,0,1
0,0,1,0,1,1,1,1,42,41,42,NA,NA,NA,31,31,22,33,21,22,0,0,1,0
0,1,0,1,0,2,0,1,46,49,42,63,51,42,32,29,22,31,17,22,0,0,0,0
0,1,0,1,1,4,1,3,52,59,42,60,47,42,26,36,22,28,38,22,0,0,0,0
1,0,0,4,4,1,0,1,43,61,34,40,57,34,17,25,17,34,34,17,0,0,0,0
0,1,0,2,0,2,0,0,51,75,34,NA,NA,NA,9,19,17,17,23,17,0,0,0,1
0,0,1,0,0,0,0,0,60,41,34,80,38,34,28,20,17,18,26,17,0,0,0,0
1,0,0,4,5,0,1,0,52,54,34,NA,NA,NA,19,23,17,21,26,17,0,0,0,1
1,0,0,0,1,0,1,0,63,43,34,46,59,34,28,21,17,21,26,17,0,0,0,0
0,1,0,1,0,1,0,0,49,62,34,59,43,34,20,32,17,25,16,17,0,0,0,0
0,0,1,2,1,1,0,0,NA,NA,NA,42,58,38,20,28,22,21,26,22,0,1,0,0
0,0,1,0,0,0,0,0,48,53,38,45,53,38,25,32,22,30,22,22,0,0,0,0
1,0,0,1,1,0,0,0,53,40,38,39,51,38,42,22,22,24,38,22,0,0,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,30,44,38,19,32,22,28,29,22,0,1,0,0
0,0,1,1,1,1,0,1,40,43,38,46,26,38,19,22,22,17,19,22,0,0,0,0
1,0,0,0,1,0,1,0,46,53,38,44,52,38,23,34,22,27,36,22,0,0,0,0
1,0,0,3,3,0,0,0,35,45,38,53,42,38,24,22,21,26,20,21,0,0,0,0
0,0,1,1,1,1,1,0,41,50,38,65,44,38,28,25,20,28,19,20,0,0,0,0
0,0,1,1,1,1,0,1,72,25,38,NA,NA,NA,33,15,20,18,25,20,0,0,0,1
0,0,1,0,0,0,0,0,NA,NA,NA,43,54,34,26,37,19,17,41,19,0,1,0,0
1,0,0,1,2,0,1,0,57,53,34,45,69,34,21,28,19,23,37,19,0,0,0,0
1,0,0,2,2,1,0,1,60,45,34,NA,NA,NA,51,15,19,26,29,19,0,0,0,1
1,0,0,3,2,1,0,0,72,37,34,40,50,34,34,24,19,30,29,19,0,0,0,0
1,0,0,1,1,0,0,0,36,41,30,42,39,30,37,29,23,29,21,22,0,0,0,0
0,1,0,3,0,3,0,0,NA,NA,NA,42,44,30,31,38,23,42,32,23,0,1,0,0
0,0,1,2,2,2,2,0,28,35,30,34,51,30,22,38,23,25,31,23,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,29,55,30,36,47,23,16,33,23,0,1,0,0
1,0,0,1,3,0,2,0,58,18,30,NA,NA,NA,41,8,18,15,31,18,0,0,0,1
1,0,0,1,2,1,1,1,43,33,30,19,33,30,19,25,18,17,18,18,0,0,0,0
0,0,1,1,1,1,1,0,NA,NA,NA,30,35,30,13,35,18,32,15,18,0,1,0,0
1,0,0,4,5,0,1,0,68,41,38,39,61,38,39,25,22,11,25,22,0,0,0,0
0,1,0,1,0,1,0,0,54,46,38,54,54,38,37,16,22,26,30,22,0,0,0,0
1,0,0,2,2,0,0,0,70,67,46,NA,NA,NA,48,22,25,27,26,27,0,0,0,1
0,0,1,2,1,1,0,0,49,49,46,60,79,46,26,28,26,35,43,27,0,0,0,0
1,0,0,0,1,0,1,0,43,71,38,35,54,38,17,33,20,16,28,20,0,0,0,0
1,0,0,3,3,2,1,1,100,33,38,60,44,38,54,9,20,33,17,20,0,0,0,0
0,1,0,2,0,2,0,0,35,43,38,66,39,38,13,35,20,16,26,20,0,0,0,0
1,0,0,2,3,2,2,1,69,52,38,41,51,38,31,20,19,25,29,20,0,0,0,0
1,0,0,3,3,0,0,0,52,50,42,46,40,42,32,19,22,28,31,22,0,0,0,0
0,0,1,0,0,0,0,0,53,53,42,57,57,42,22,33,22,24,26,22,0,0,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,41,48,42,35,17,22,23,30,22,1,0,0,0
1,0,0,1,3,1,2,1,47,47,34,72,70,34,22,21,17,29,25,17,0,0,0,0
1,0,0,1,2,0,1,0,42,66,34,40,48,34,26,39,17,24,35,17,0,0,0,0
0,0,1,1,1,1,0,1,49,43,38,34,42,38,27,29,22,26,35,22,0,0,0,0
1,0,0,0,1,0,1,0,NA,NA,NA,56,34,38,30,35,22,24,14,22,0,1,0,0
0,0,1,0,0,0,0,0,63,31,38,56,44,38,25,18,22,47,17,22,0,0,0,0
1,0,0,1,2,1,1,1,43,51,38,34,53,38,15,25,20,27,38,20,0,0,0,0
1,0,0,3,2,1,0,0,NA,NA,NA,54,54,38,19,40,20,36,23,20,0,1,0,0
0,1,0,1,1,2,1,1,34,54,38,77,39,38,14,24,20,36,25,20,0,0,0,0
1,0,0,2,3,1,1,1,57,49,38,58,46,38,28,25,20,19,43,20,0,0,0,0
1,0,0,1,2,1,1,1,NA,NA,NA,62,68,38,32,32,20,22,32,20,0,1,0,0
1,0,0,2,3,1,2,0,43,72,38,62,39,38,24,28,20,29,26,20,0,0,0,0
1,0,0,4,5,1,2,0,58,48,38,48,62,38,17,21,20,26,18,20,0,0,0,0
0,0,1,0,0,0,0,0,46,57,38,80,23,38,25,27,20,44,9,20,0,0,0,0
1,0,0,3,3,1,1,0,54,50,34,45,59,34,29,26,19,27,41,19,0,0,0,0
1,0,0,1,2,1,2,0,76,40,34,45,64,34,33,16,19,24,32,19,0,0,0,0
0,1,0,1,0,2,0,1,46,65,34,47,49,34,33,37,19,36,23,19,0,0,0,0
1,0,0,1,1,0,0,0,65,49,34,69,28,34,36,32,19,45,17,19,0,0,0,0
0,0,1,0,0,0,0,0,61,31,30,51,38,30,42,26,23,31,38,23,0,0,0,0
0,1,0,2,2,3,0,3,36,53,30,59,17,30,21,51,23,37,33,23,0,0,0,0
0,0,1,2,3,3,2,2,48,31,30,39,37,30,31,25,23,38,23,23,0,0,0,0
0,0,1,1,1,1,0,1,25,35,30,40,44,30,11,26,18,22,24,18,0,0,0,0
0,1,0,2,1,3,1,1,28,42,30,54,20,30,10,26,18,35,14,18,0,0,0,0
0,0,1,1,1,1,1,0,23,37,30,41,41,30,13,33,18,15,31,18,0,0,0,0
1,0,0,2,5,0,3,0,57,25,30,28,59,30,42,10,18,24,24,18,0,0,0,0
1,0,0,2,2,1,1,0,21,35,30,42,26,30,24,24,18,22,26,18,0,0,0,0
1,0,0,0,1,0,1,0,39,46,38,51,53,38,23,21,20,38,18,20,0,0,0,0
1,0,0,2,3,1,2,0,43,43,38,NA,NA,NA,25,24,21,18,31,21,0,0,1,0
1,0,0,0,1,0,1,0,NA,NA,NA,50,59,46,36,39,26,38,38,26,1,0,0,0
0,0,1,2,1,1,0,0,94,23,34,63,43,34,42,8,18,29,21,18,0,0,0,0
0,0,1,2,1,1,0,0,40,57,34,63,50,34,35,38,18,37,18,18,0,0,0,0
0,0,1,1,1,1,1,0,46,59,34,52,54,34,21,27,18,24,23,18,0,0,0,0
1,0,0,0,1,0,1,0,59,43,34,43,61,34,26,16,18,21,26,18,0,0,0,0
0,0,1,0,0,0,0,0,45,69,34,NA,NA,NA,23,39,20,26,37,20,0,0,0,1
0,1,0,2,0,2,0,0,43,54,34,60,45,34,17,41,20,53,16,20,0,0,0,0
0,0,1,2,1,1,0,0,42,39,30,28,46,30,29,22,23,29,40,23,0,0,0,0
1,0,0,1,2,1,2,0,104,38,38,69,52,38,68,17,20,34,22,20,0,0,0,0
0,1,0,1,0,1,0,0,80,38,34,47,47,34,18,26,18,25,22,18,0,0,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,49,62,34,19,23,18,20,33,18,0,1,0,0
0,1,0,1,0,1,0,0,40,48,34,60,41,34,24,37,18,28,20,18,0,0,0,0
0,1,0,1,1,2,1,1,72,70,34,42,66,34,30,28,18,28,39,18,0,0,0,0
0,1,0,2,0,3,0,1,NA,NA,NA,51,75,34,21,31,18,9,21,18,0,1,0,0
0,1,0,1,0,2,0,1,40,50,34,65,49,34,31,31,20,37,32,20,0,0,0,0
1,0,0,1,2,0,1,0,45,64,34,72,37,34,25,34,20,36,25,20,0,0,0,0
1,0,0,2,3,1,1,1,72,51,34,76,40,34,27,23,20,35,17,20,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,46,65,34,27,31,20,33,39,20,0,1,0,0
1,0,0,3,4,0,1,0,47,49,34,NA,NA,NA,38,23,20,13,44,20,0,0,0,1
0,1,0,1,0,1,0,0,69,28,34,54,50,34,45,18,20,32,27,20,0,0,0,0
0,0,1,3,2,2,1,0,45,59,34,57,53,34,28,44,20,23,28,20,0,0,0,0
1,0,0,2,2,0,0,0,NA,NA,NA,NA,NA,NA,18,34,21,25,29,21,0,1,0,1
1,0,0,0,1,0,1,0,63,43,34,59,43,34,30,22,19,27,16,19,0,0,0,0
0,0,1,0,0,0,0,0,36,39,34,NA,NA,NA,15,25,19,25,15,19,0,0,0,1
1,0,0,1,2,0,1,0,42,54,34,NA,NA,NA,16,29,19,22,12,19,0,0,0,1
0,1,0,0,0,1,0,1,64,38,34,34,33,34,22,23,19,32,14,19,0,0,0,0
0,0,1,5,3,3,1,0,56,34,38,NA,NA,NA,24,15,23,21,29,23,0,0,0,1
0,0,1,0,0,0,0,0,NA,NA,NA,44,52,38,20,23,22,24,19,22,1,0,0,0
1,0,0,2,2,0,0,0,46,45,38,63,56,38,32,23,22,29,35,22,0,0,0,0
0,1,0,1,0,1,0,0,36,38,38,49,54,38,16,37,22,27,32,22,0,0,0,0
0,0,1,0,1,1,1,1,31,38,38,51,47,38,29,31,22,19,25,22,0,0,0,0
0,0,1,0,0,0,0,0,57,58,38,43,43,38,33,33,22,28,25,22,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,43,59,38,22,25,22,21,35,22,0,1,0,0
0,0,1,1,1,1,0,1,56,44,38,NA,NA,NA,35,12,22,28,24,22,0,0,0,1
0,1,0,2,1,2,1,0,NA,NA,NA,35,45,38,19,34,22,27,22,22,1,0,0,0
1,0,0,0,3,0,3,0,59,17,30,NA,NA,NA,40,35,24,31,41,24,0,0,0,1
0,1,0,2,1,2,0,1,39,61,38,71,27,38,11,30,23,52,20,23,0,0,0,0
0,0,1,0,0,0,0,0,61,39,38,101,50,38,31,34,23,33,27,23,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,33,48,38,21,37,23,25,34,23,0,1,0,0
0,0,1,1,1,1,0,1,102,37,38,38,53,38,46,23,23,20,33,23,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,54,46,38,24,42,23,37,17,23,0,1,0,0
0,0,1,1,1,1,0,1,54,54,38,41,60,38,27,30,23,21,33,23,0,0,0,0
1,0,0,2,2,1,0,1,55,51,38,68,41,38,35,30,23,44,25,23,0,0,0,0
0,1,0,3,2,3,1,1,55,40,46,67,64,46,30,36,28,37,40,28,0,0,0,0
1,0,0,3,4,1,2,0,84,52,46,59,60,46,52,25,28,33,39,28,0,0,0,0
0,0,1,0,1,1,1,1,NA,NA,NA,58,74,46,41,49,28,31,39,28,1,0,0,0
0,1,0,1,0,1,0,0,59,67,46,NA,NA,NA,30,39,28,44,37,28,0,0,0,1
1,0,0,2,3,1,1,1,62,50,46,41,61,46,43,18,28,25,35,28,0,0,0,0
0,1,0,2,1,3,1,1,46,74,46,58,65,46,26,44,28,36,47,28,0,0,0,0
1,0,0,2,4,0,2,0,NA,NA,NA,38,66,46,50,34,28,22,50,28,1,0,0,0
1,0,0,1,2,0,1,0,NA,NA,NA,60,54,46,26,36,28,46,27,28,0,1,0,0
0,0,1,1,1,1,0,1,63,65,46,NA,NA,NA,21,25,28,36,42,28,0,0,1,0
1,0,0,1,1,0,0,0,74,64,46,70,62,46,56,33,28,38,38,28,0,0,0,0
0,1,0,2,1,3,0,2,61,48,46,67,66,46,26,36,28,59,28,28,0,0,0,0
0,1,0,1,1,2,1,1,NA,NA,NA,70,56,46,33,35,28,33,42,28,0,1,0,0
0,1,0,4,2,3,1,0,53,61,46,54,80,46,32,43,27,25,49,27,0,0,0,0
0,1,0,1,0,2,0,1,NA,NA,NA,49,49,46,28,31,26,27,29,27,1,0,0,0
0,0,1,2,1,1,0,0,NA,NA,NA,72,58,46,27,28,28,34,34,27,0,1,0,0
1,0,0,2,2,0,0,0,60,79,46,48,46,46,36,44,28,32,28,25,0,0,0,0
0,0,1,0,0,0,0,0,63,65,46,70,67,46,59,25,27,50,22,26,0,0,0,0
0,1,0,1,0,1,0,0,64,77,46,NA,NA,NA,30,34,27,41,36,27,0,0,0,1
0,0,1,3,2,2,0,1,59,73,46,57,54,46,34,40,28,33,30,26,0,0,0,0
1,0,0,0,1,0,1,0,72,46,46,74,77,46,41,28,27,29,39,28,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,50,59,46,37,41,25,38,39,27,0,1,0,0
1,0,0,1,2,0,1,0,63,59,46,NA,NA,NA,52,27,27,37,39,27,0,0,1,0
1,0,0,2,2,1,0,1,NA,NA,NA,48,54,46,21,40,28,26,47,28,1,0,0,0
1,0,0,2,4,0,2,0,77,26,38,104,38,38,43,20,21,70,18,21,0,0,0,0
1,0,0,2,4,1,2,1,35,43,38,39,46,38,13,37,21,24,21,21,0,0,0,0
0,0,1,1,1,1,1,0,62,55,38,49,54,38,21,28,21,20,23,21,0,0,0,0
1,0,0,1,2,0,1,0,60,44,38,32,56,38,35,20,21,14,33,21,0,0,0,0
0,0,1,3,2,2,0,1,46,40,42,39,56,42,28,34,23,22,25,23,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,53,53,42,17,26,23,22,33,23,0,1,0,0
0,1,0,4,1,4,0,1,NA,NA,NA,NA,NA,NA,23,23,23,35,17,23,0,1,1,0
1,0,0,1,4,0,3,0,49,53,42,60,47,42,36,33,22,32,39,23,0,0,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,19,23,19,21,34,19,0,1,0,1
0,1,0,2,0,3,0,1,43,61,34,80,38,34,21,27,19,18,27,19,0,0,0,0
1,0,0,2,2,1,1,0,51,75,34,46,59,34,12,21,19,22,28,19,0,0,0,0
0,1,0,0,0,2,0,2,52,54,34,40,48,34,25,24,19,24,38,19,0,0,0,0
0,1,0,1,0,2,0,1,49,62,34,94,23,34,20,33,19,43,9,19,0,0,0,0
1,0,0,1,3,0,2,0,63,50,34,72,70,34,38,19,19,31,30,19,0,0,0,0
0,0,1,0,0,0,0,0,29,35,34,44,49,34,15,25,19,22,39,19,0,0,0,0
1,0,0,2,2,1,0,1,48,47,34,30,43,34,22,29,19,28,28,19,0,0,0,0
1,0,0,2,2,0,0,0,42,58,38,NA,NA,NA,22,27,23,19,32,23,0,0,0,1
1,0,0,1,2,0,1,0,NA,NA,NA,46,53,38,31,35,23,24,34,23,0,1,0,0
0,1,0,0,0,1,0,1,39,51,38,49,43,38,24,39,23,28,30,23,0,0,0,0
0,1,0,2,1,2,0,1,45,53,38,46,26,38,30,22,23,18,20,23,0,0,0,0
0,1,0,3,1,3,1,0,44,52,38,48,53,38,27,37,23,25,32,23,0,0,0,0
0,0,1,1,1,1,1,0,47,45,38,53,40,38,23,30,23,43,22,23,0,0,0,0
1,0,0,1,1,0,0,0,53,42,38,NA,NA,NA,26,23,22,25,17,22,0,0,1,0
1,0,0,1,3,1,2,1,80,23,38,57,49,38,44,9,21,31,26,21,0,0,0,0
0,1,0,3,1,3,0,1,62,68,38,58,48,38,23,34,21,22,22,21,0,0,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,45,64,34,13,48,21,27,34,21,0,1,0,0
1,0,0,1,4,0,3,0,72,51,34,47,49,34,30,24,21,42,23,21,0,0,0,0
0,1,0,1,0,1,0,0,43,54,34,65,49,34,17,43,21,39,32,21,0,0,0,0
1,0,0,4,3,1,0,0,60,45,34,46,65,34,55,16,21,33,40,21,0,0,0,0
0,1,0,2,1,3,1,1,72,37,34,NA,NA,NA,36,27,21,26,37,21,0,0,0,1
1,0,0,3,4,0,1,0,39,37,30,NA,NA,NA,41,26,24,37,47,24,0,0,0,1
0,0,1,0,0,0,0,0,34,51,30,36,41,30,27,33,24,38,29,24,0,0,0,0
0,1,0,0,0,1,0,1,28,46,30,48,31,30,30,41,24,34,28,24,0,0,0,0
0,1,0,4,2,3,0,1,51,38,30,36,53,30,31,38,24,23,54,24,0,0,0,0
0,1,0,1,0,2,0,1,NA,NA,NA,57,25,30,17,19,19,47,10,19,0,1,0,0
0,0,1,1,2,2,2,1,NA,NA,NA,43,59,38,21,38,23,20,32,23,0,1,0,0
0,0,1,2,1,1,0,0,43,59,38,45,52,38,29,35,23,26,28,23,0,0,0,0
0,0,1,2,1,1,0,0,40,51,38,64,43,38,35,27,23,39,22,23,0,0,0,0
0,1,0,5,2,5,0,2,66,39,38,100,33,38,18,26,21,57,11,21,0,0,0,0
0,1,0,2,1,2,1,0,NA,NA,NA,43,71,38,16,31,21,18,33,21,0,1,0,0
0,1,0,3,1,2,0,0,41,51,38,51,53,38,27,32,21,38,19,21,0,0,0,0
1,0,0,2,2,1,1,0,35,54,38,69,52,38,16,29,21,35,24,21,0,0,0,0
0,0,1,1,1,1,1,0,NA,NA,NA,46,49,42,34,22,23,32,31,23,1,0,0,0
1,0,0,2,2,1,0,1,41,48,42,51,50,42,23,30,23,42,22,23,0,0,0,0
0,1,0,0,0,2,0,2,46,57,42,NA,NA,NA,30,35,23,23,23,23,0,0,0,1
1,0,0,2,3,0,1,0,42,41,42,52,59,42,32,32,23,27,40,23,0,0,0,0
1,0,0,3,2,1,0,0,63,51,42,NA,NA,NA,33,17,23,30,41,23,0,0,0,1
0,1,0,0,0,1,0,1,46,49,42,52,50,42,19,28,23,35,19,23,0,0,0,0
0,0,1,1,2,2,2,1,47,47,34,40,57,34,26,22,19,36,39,19,0,0,0,0
1,0,0,0,2,1,2,1,42,66,34,60,41,34,30,40,19,29,20,19,0,0,0,0
0,1,0,1,0,2,0,1,NA,NA,NA,55,39,34,28,20,19,27,19,19,1,0,0,0
1,0,0,1,2,1,1,1,46,51,34,NA,NA,NA,24,33,19,21,28,19,0,0,1,0
0,0,1,2,1,1,0,0,47,34,34,45,44,34,28,16,19,29,22,19,0,0,0,0
1,0,0,1,1,0,0,0,34,42,38,63,31,38,27,36,23,25,18,23,0,0,0,0
0,0,1,1,1,1,1,0,56,44,38,84,23,38,47,17,23,40,19,23,0,0,0,0
0,0,1,0,0,0,0,0,30,44,38,40,43,38,28,29,23,20,23,23,0,0,0,0
0,1,0,2,1,2,0,1,34,53,38,72,25,38,28,40,21,34,16,21,0,0,0,0
1,0,0,1,2,0,1,0,NA,NA,NA,NA,NA,NA,19,26,21,21,41,21,0,1,0,1
1,0,0,3,3,2,1,1,65,44,38,43,51,38,29,20,21,17,26,21,0,0,0,0
1,0,0,2,3,0,1,0,62,39,38,NA,NA,NA,30,29,21,34,33,21,0,0,0,1
1,0,0,1,3,1,2,1,77,39,38,46,57,38,38,26,21,25,27,21,0,0,0,0
0,0,1,0,1,1,1,1,48,62,38,43,72,38,27,23,21,27,29,21,0,0,0,0
1,0,0,2,2,1,1,0,76,40,34,40,50,34,36,20,21,31,33,21,0,0,0,0
0,1,0,2,1,2,0,1,45,69,34,69,28,34,23,39,21,45,19,21,0,0,0,0
0,1,0,3,2,4,2,1,57,53,34,54,50,34,25,30,21,33,27,21,0,0,0,0
1,0,0,1,3,0,2,0,NA,NA,NA,45,59,34,28,31,21,30,46,21,0,1,0,0
0,1,0,1,0,2,0,1,29,55,30,61,31,30,16,34,24,42,26,24,0,0,0,0
1,0,0,1,1,0,0,0,42,39,30,28,35,30,30,23,24,24,40,24,0,0,0,0
1,0,0,1,2,0,1,0,42,44,30,54,28,30,45,32,24,60,22,24,0,0,0,0
0,0,1,3,3,3,1,2,28,42,30,43,33,30,11,29,19,21,26,19,0,0,0,0
0,1,0,2,0,2,0,0,42,26,30,39,37,30,23,28,19,30,13,19,0,0,0,0
0,1,0,1,0,1,0,0,30,35,30,19,33,30,33,16,19,18,20,19,0,0,0,0
0,1,0,1,1,2,1,1,40,44,30,23,37,30,23,25,19,14,34,19,0,0,0,0
1,0,0,3,2,1,0,0,28,59,30,NA,NA,NA,24,29,19,14,36,19,0,0,0,1
0,0,1,0,0,0,0,0,41,41,30,25,35,30,16,32,19,12,27,19,0,0,0,0
0,0,1,2,1,1,0,0,54,20,30,58,18,30,38,15,19,44,8,19,0,0,0,0
1,0,0,3,2,1,0,0,57,54,46,63,65,46,35,32,27,59,25,28,0,0,0,0
1,0,0,1,2,0,1,0,30,50,38,46,80,38,18,42,21,22,38,21,0,0,0,0
0,1,0,2,1,2,1,0,38,41,34,NA,NA,NA,24,31,19,28,20,19,0,0,0,1
1,0,0,2,2,1,0,1,47,37,38,38,32,38,29,27,22,25,12,22,0,0,0,0
0,1,0,0,0,1,0,1,54,54,38,41,50,38,37,25,21,29,26,21,0,0,0,0
0,0,1,1,1,1,0,1,NA,NA,NA,21,35,30,15,34,19,26,25,19,0,1,0,0
1,0,0,1,2,1,2,0,68,41,38,NA,NA,NA,45,27,24,21,38,24,0,0,0,1
1,0,0,1,2,0,1,0,38,53,38,39,61,38,21,34,24,12,32,24,0,0,0,0
1,0,0,3,3,2,1,1,101,50,38,55,51,38,33,27,24,37,31,24,0,0,0,0
0,1,0,0,0,2,0,2,41,60,38,NA,NA,NA,22,34,24,24,43,24,0,0,0,1
0,1,0,1,0,1,0,0,58,74,46,46,74,46,32,40,29,27,47,29,0,0,0,0
1,0,0,2,2,1,1,0,70,62,46,NA,NA,NA,38,39,29,28,36,29,0,0,0,1
0,1,0,3,1,2,0,0,38,66,46,62,50,46,22,54,29,46,19,29,0,0,0,0
1,0,0,2,3,1,1,1,59,60,46,NA,NA,NA,34,43,29,42,50,29,0,0,1,0
0,0,1,1,2,2,2,1,67,66,46,84,52,46,62,29,29,56,26,29,0,0,0,0
0,1,0,3,1,2,0,0,NA,NA,NA,74,64,46,45,37,29,57,33,29,0,1,0,0
0,0,1,0,0,0,0,0,NA,NA,NA,55,40,46,37,43,29,32,39,29,1,0,0,0
0,1,0,3,2,3,0,2,41,61,46,NA,NA,NA,26,38,29,54,34,29,0,0,1,0
0,1,0,4,1,4,0,1,58,65,46,NA,NA,NA,39,48,29,34,37,29,0,0,0,1
1,0,0,2,2,1,0,1,60,54,46,63,65,46,46,29,29,22,26,29,0,0,0,0
0,1,0,2,0,2,0,0,70,56,46,59,67,46,35,43,29,30,40,29,0,0,0,0
0,1,0,0,1,2,1,2,NA,NA,NA,NA,NA,NA,37,41,28,28,29,29,1,0,0,1
1,0,0,3,3,1,1,0,70,67,46,59,73,46,50,22,27,36,42,29,0,0,0,0
0,1,0,1,0,2,0,1,NA,NA,NA,72,46,46,42,36,28,42,28,28,0,1,0,0
0,0,1,1,1,1,0,1,74,77,46,NA,NA,NA,29,40,29,37,42,26,0,0,0,1
0,1,0,4,0,5,0,1,48,54,46,NA,NA,NA,27,49,29,28,33,27,0,0,1,0
1,0,0,0,1,0,1,0,54,80,46,NA,NA,NA,28,51,28,23,41,29,0,0,1,0
0,1,0,0,0,1,0,1,85,45,46,64,77,46,35,43,27,30,35,28,0,0,0,0
1,0,0,1,2,1,2,0,50,59,46,63,59,46,39,39,28,54,27,28,0,0,0,0
0,1,0,2,1,2,0,1,72,58,46,60,79,46,35,35,28,38,44,29,0,0,0,0
1,0,0,3,4,1,2,0,48,46,46,53,61,46,32,30,26,34,46,28,0,0,0,0
1,0,0,2,3,2,3,0,49,49,46,NA,NA,NA,29,29,28,47,35,26,0,0,0,1
0,1,0,0,0,1,0,1,NA,NA,NA,49,53,42,27,30,22,40,33,23,1,0,0,0
1,0,0,1,1,0,0,0,71,27,38,61,39,38,54,21,24,31,34,24,0,0,0,0
0,0,1,1,1,1,0,1,33,48,38,43,59,38,26,34,24,30,36,24,0,0,0,0
1,0,0,1,3,1,2,1,64,43,38,NA,NA,NA,40,23,24,23,40,24,0,0,0,1
0,0,1,0,0,0,0,0,54,46,38,40,51,38,38,17,24,36,28,24,0,0,0,0
0,1,0,3,1,4,1,1,45,52,38,102,37,38,27,29,24,47,24,24,0,0,0,0
1,0,0,2,2,0,0,0,43,59,38,54,54,38,22,34,24,28,31,24,0,0,0,0
1,0,0,2,3,0,1,0,67,64,46,61,48,46,40,42,29,27,39,29,0,0,0,0
0,1,0,1,0,1,0,0,58,46,38,34,54,38,20,46,21,15,26,21,0,0,0,0
0,0,1,1,2,2,2,1,43,71,38,62,55,38,20,34,22,22,29,22,0,0,0,0
1,0,0,5,4,2,0,1,80,38,34,52,54,34,21,27,20,25,26,20,0,0,0,0
1,0,0,2,3,2,2,1,30,43,34,NA,NA,NA,29,30,20,28,22,20,0,0,1,0
0,1,0,1,2,3,1,3,45,44,34,42,54,34,30,23,20,18,29,20,0,0,0,0
0,1,0,0,0,1,0,1,NA,NA,NA,47,34,34,30,21,20,29,17,20,0,1,0,0
0,0,1,3,2,2,0,1,53,40,38,44,52,38,44,23,24,28,40,24,0,0,0,0
1,0,0,1,1,0,0,0,NA,NA,NA,46,45,38,29,25,23,34,23,23,0,1,0,0
0,1,0,0,0,1,0,1,35,45,38,56,44,38,29,23,23,36,13,23,0,0,0,0
0,0,1,0,0,0,0,0,43,59,38,NA,NA,NA,21,36,23,20,23,23,0,0,1,0
0,0,1,0,0,0,0,0,57,58,38,NA,NA,NA,33,33,23,20,36,23,0,0,1,0
0,0,1,0,1,1,1,1,44,52,38,NA,NA,NA,24,19,23,23,25,23,0,0,0,1
1,0,0,2,3,1,2,0,43,43,38,31,38,38,28,25,23,30,32,23,0,0,0,0
0,0,1,1,1,1,1,0,51,47,38,53,42,38,20,26,23,27,23,23,0,0,0,0
0,0,1,1,2,2,1,2,63,56,38,36,38,38,29,37,23,16,38,23,0,0,0,0
0,1,0,3,2,4,1,2,54,50,34,60,45,34,37,29,22,58,17,22,0,0,0,0
0,1,0,2,1,2,0,1,NA,NA,NA,42,39,30,37,51,25,31,23,25,0,1,0,0
1,0,0,0,1,0,1,0,57,25,30,30,35,30,49,10,20,33,17,20,0,0,0,0
0,0,1,7,4,4,1,0,38,66,46,67,64,46,23,56,30,43,42,30,0,0,0,0
0,1,0,4,3,4,2,1,59,60,46,74,64,46,37,44,30,59,34,30,0,0,0,0
0,0,1,1,1,1,1,0,67,66,46,58,65,46,64,31,30,40,52,30,0,0,0,0
1,0,0,2,3,0,1,0,41,61,46,NA,NA,NA,28,41,30,46,39,30,0,0,0,1
0,1,0,1,1,2,0,2,NA,NA,NA,60,54,46,43,53,30,48,30,30,1,0,0,0
1,0,0,0,1,0,1,0,59,67,46,46,74,46,32,40,30,28,47,30,0,0,0,0
1,0,0,1,2,0,1,0,NA,NA,NA,NA,NA,NA,57,36,30,38,38,30,1,0,0,1
0,0,1,0,0,0,0,0,63,65,46,55,40,46,23,28,30,32,39,30,0,0,0,0
