"Hwins","Awins","IsDraw","goals2H","Hgoals","Agoals","Hgoals1H","Agoals1H","HG_LY","HGA_LY","HM_LY","AG_LY","AGA_LY","AM_LY","HG_TY","HGA_TY","HM_TY","AG_TY","AGA_TY","AM_TY","Hrelegated","Hpromoted","Arelegated","Apromoted"
0,0,1,1,2,2,1,2,53,61,46,50,59,46,0,0,0,0,0,0,0,0,0,0
1,0,0,3,2,1,0,0,NA,NA,NA,54,80,46,0,0,0,0,0,0,0,1,0,0
0,1,0,2,1,2,0,1,85,45,46,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
1,0,0,3,4,2,1,2,63,65,46,60,79,46,0,0,0,0,0,0,0,0,0,0
0,0,1,1,1,1,1,0,59,73,46,49,49,46,0,0,0,0,0,0,0,0,0,0
0,0,1,2,1,1,0,0,72,46,46,64,77,46,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,NA,NA,NA,72,58,46,0,0,0,0,0,0,0,1,0,0
0,1,0,1,1,2,1,1,48,46,46,70,67,46,0,0,0,0,0,0,0,0,0,0
1,0,0,0,3,1,3,1,63,59,46,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,2,0,3,0,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,1,0
1,0,0,2,3,0,1,0,NA,NA,NA,NA,NA,NA,2,2,1,2,1,1,1,0,0,1
0,1,0,2,1,5,1,3,42,54,34,30,43,34,0,1,1,1,1,1,0,0,0,0
0,0,1,3,3,3,1,2,42,58,38,53,40,38,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,3,0,3,39,51,38,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,1,0,2,0,1,34,42,38,56,34,38,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,46,26,38,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,45,53,38,49,43,38,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,40,43,38,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
1,0,0,2,3,2,1,2,30,44,38,46,53,38,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,2,0,2,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,0,1,0
0,0,1,3,2,2,1,0,NA,NA,NA,49,54,38,0,2,1,3,2,1,1,0,0,0
0,0,1,1,1,1,1,0,40,50,34,72,37,34,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,2,1,1,72,51,34,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,3,0,3,0,0,45,59,34,54,50,34,0,0,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,43,54,34,NA,NA,NA,0,0,0,0,0,0,0,0,0,1
0,1,0,0,0,1,0,1,29,55,30,28,46,30,1,1,2,0,4,2,0,0,0,0
0,0,1,3,2,2,1,0,36,53,30,NA,NA,NA,2,1,2,2,3,2,0,0,0,1
0,1,0,2,1,2,1,0,34,51,30,42,44,30,4,4,2,2,5,2,0,0,0,0
0,0,1,2,1,1,0,0,28,35,30,NA,NA,NA,0,3,2,4,2,2,0,0,0,1
1,0,0,1,1,0,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0
0,0,1,2,2,2,1,1,34,33,34,NA,NA,NA,1,1,1,1,0,1,0,0,0,1
0,1,0,2,0,3,0,1,38,41,34,NA,NA,NA,2,3,1,0,0,1,0,0,0,1
0,0,1,2,1,1,0,0,29,35,34,55,39,34,0,1,1,3,2,1,0,0,0,0
1,0,0,2,2,0,0,0,56,44,38,47,45,38,0,0,0,0,0,0,0,0,0,0
0,1,0,2,1,2,0,1,63,31,38,48,53,38,0,0,0,0,0,0,0,0,0,0
1,0,0,4,4,1,1,0,69,28,34,65,49,34,0,0,0,0,0,0,0,0,0,0
0,1,0,1,0,1,0,0,45,64,34,76,40,34,0,0,0,0,0,0,0,0,0,0
0,1,0,4,2,3,1,0,45,69,34,57,53,34,0,0,0,0,0,0,0,0,0,0
0,1,0,1,1,3,1,2,NA,NA,NA,60,45,34,0,0,0,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0,61,31,30,36,41,30,5,1,2,2,6,2,0,0,0,0
0,1,0,0,0,1,0,1,59,17,30,39,37,30,6,2,2,3,1,2,0,0,0,0
0,0,1,2,1,1,0,0,51,38,30,54,28,30,3,2,2,3,0,2,0,0,0,0
